주차장명,소재지지번주소,주차구획수,위도,경도,읍면동_추출,행정구역_그룹,시간대,혼잡지수_v3
문산자유시장,경기도 파주시 문산읍 문산리 8-2,123,37.8577000708,126.7843702993,문산읍,문산읍,18-21시,196.61583430167468
통일동산,경기도 파주시 탄현면 성동리 646,1248,37.7789723009,126.6846100837,탄현면,탄현면,00-06시,24.22857083392985
통일동산,경기도 파주시 탄현면 성동리 646,1248,37.7789723009,126.6846100837,탄현면,탄현면,06-09시,29.624812306880703
통일동산,경기도 파주시 탄현면 성동리 646,1248,37.7789723009,126.6846100837,탄현면,탄현면,12-15시,126.30049958589464
통일동산,경기도 파주시 탄현면 성동리 646,1248,37.7789723009,126.6846100837,탄현면,탄현면,18-21시,24.31692264003216
운정역 환승,경기도 파주시 와동동 1472,384,37.7261964371,126.7662332265,와동동,운정,00-06시,139.85962828990756
운정역 환승,경기도 파주시 와동동 1472,384,37.7261964371,126.7662332265,와동동,운정,06-09시,131.15411921120486
운정역 환승,경기도 파주시 와동동 1472,384,37.7261964371,126.7662332265,와동동,운정,12-15시,67.77905888253721
운정역 환승,경기도 파주시 와동동 1472,384,37.7261964371,126.7662332265,와동동,운정,18-21시,107.43072866526477
가람마을 공영,경기도 파주시 와동동 1591,231,37.7345971672,126.7533942181,와동동,운정,00-06시,139.85962828990756
가람마을 공영,경기도 파주시 와동동 1591,231,37.7345971672,126.7533942181,와동동,운정,06-09시,131.15411921120486
가람마을 공영,경기도 파주시 와동동 1591,231,37.7345971672,126.7533942181,와동동,운정,12-15시,67.77905888253721
가람마을 공영,경기도 파주시 와동동 1591,231,37.7345971672,126.7533942181,와동동,운정,18-21시,107.43072866526477
야당역 환승,경기도 파주시 야당동 1087,302,37.71377303,126.7613750122,야당동,운정,00-06시,139.85962828990756
야당역 환승,경기도 파주시 야당동 1087,302,37.71377303,126.7613750122,야당동,운정,06-09시,131.15411921120486
야당역 환승,경기도 파주시 야당동 1087,302,37.71377303,126.7613750122,야당동,운정,12-15시,67.77905888253721
야당역 환승,경기도 파주시 야당동 1087,302,37.71377303,126.7613750122,야당동,운정,18-21시,107.43072866526477
금촌로터리,경기도 파주시 금촌동 956-1,119,37.756244053,126.7731678705,금촌동,금촌,00-06시,57.02432553524429
금촌로터리,경기도 파주시 금촌동 956-1,119,37.756244053,126.7731678705,금촌동,금촌,06-09시,55.65659890678894
금촌로터리,경기도 파주시 금촌동 956-1,119,37.756244053,126.7731678705,금촌동,금촌,12-15시,35.4833995442708
금촌로터리,경기도 파주시 금촌동 956-1,119,37.756244053,126.7731678705,금촌동,금촌,18-21시,47.80709104637571
금촌역,경기도 파주시 금촌동 329-204,10,37.7652224104,126.7736542716,금촌동,금촌,00-06시,57.02432553524429
금촌역,경기도 파주시 금촌동 329-204,10,37.7652224104,126.7736542716,금촌동,금촌,06-09시,55.65659890678894
금촌역,경기도 파주시 금촌동 329-204,10,37.7652224104,126.7736542716,금촌동,금촌,12-15시,35.4833995442708
금촌역,경기도 파주시 금촌동 329-204,10,37.7652224104,126.7736542716,금촌동,금촌,18-21시,47.80709104637571
금촌1,경기도 파주시 금촌동 971,33,37.7578337079,126.767884801,금촌동,금촌,00-06시,57.02432553524429
금촌1,경기도 파주시 금촌동 971,33,37.7578337079,126.767884801,금촌동,금촌,06-09시,55.65659890678894
금촌1,경기도 파주시 금촌동 971,33,37.7578337079,126.767884801,금촌동,금촌,12-15시,35.4833995442708
금촌1,경기도 파주시 금촌동 971,33,37.7578337079,126.767884801,금촌동,금촌,18-21시,47.80709104637571
금촌4,경기도 파주시 금릉동 432-3,16,37.7528724502,126.7789220867,금릉동,금촌,00-06시,57.02432553524429
금촌4,경기도 파주시 금릉동 432-3,16,37.7528724502,126.7789220867,금릉동,금촌,06-09시,55.65659890678894
금촌4,경기도 파주시 금릉동 432-3,16,37.7528724502,126.7789220867,금릉동,금촌,12-15시,35.4833995442708
금촌4,경기도 파주시 금릉동 432-3,16,37.7528724502,126.7789220867,금릉동,금촌,18-21시,47.80709104637571
금촌8,경기도 파주시 금촌동 936-21,15,37.7596756283,126.7713178638,금촌동,금촌,00-06시,57.02432553524429
금촌8,경기도 파주시 금촌동 936-21,15,37.7596756283,126.7713178638,금촌동,금촌,06-09시,55.65659890678894
금촌8,경기도 파주시 금촌동 936-21,15,37.7596756283,126.7713178638,금촌동,금촌,12-15시,35.4833995442708
금촌8,경기도 파주시 금촌동 936-21,15,37.7596756283,126.7713178638,금촌동,금촌,18-21시,47.80709104637571
법원2,경기도 파주시 법원읍 법원리 438-1,49,37.8502540128,126.8760343365,법원읍,법원읍,00-06시,6.299767456332388
법원2,경기도 파주시 법원읍 법원리 438-1,49,37.8502540128,126.8760343365,법원읍,법원읍,06-09시,7.0180957533453565
법원2,경기도 파주시 법원읍 법원리 438-1,49,37.8502540128,126.8760343365,법원읍,법원읍,12-15시,9.77730913135082
법원2,경기도 파주시 법원읍 법원리 438-1,49,37.8502540128,126.8760343365,법원읍,법원읍,18-21시,4.897962098214446
법원3,경기도 파주시 법원읍 법원리 674-1,40,37.8547210034,126.8753828516,법원읍,법원읍,00-06시,6.299767456332388
법원3,경기도 파주시 법원읍 법원리 674-1,40,37.8547210034,126.8753828516,법원읍,법원읍,06-09시,7.0180957533453565
법원3,경기도 파주시 법원읍 법원리 674-1,40,37.8547210034,126.8753828516,법원읍,법원읍,12-15시,9.77730913135082
법원3,경기도 파주시 법원읍 법원리 674-1,40,37.8547210034,126.8753828516,법원읍,법원읍,18-21시,4.897962098214446
가야1,경기도 파주시 법원읍 가야리 380-2,33,37.8494881151,126.8661410631,법원읍,법원읍,00-06시,6.299767456332388
가야1,경기도 파주시 법원읍 가야리 380-2,33,37.8494881151,126.8661410631,법원읍,법원읍,06-09시,7.0180957533453565
